Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,699,984,1683,Kamine(ST),MMR001009
 Grade 1,397,398,795,Kamine(ST),MMR001009
 Grade 2,499,457,956,Kamine(ST),MMR001009
 Grade 3,748,730,1478,Kamine(ST),MMR001009
 Grade 4,762,713,1475,Kamine(ST),MMR001009
 Grade 5,1280,1171,2451,Kamine(ST),MMR001009
 Grade 6,790,754,1544,Kamine(ST),MMR001009
 Grade 7,663,561,1224,Kamine(ST),MMR001009
 Grade 8,628,612,1240,Kamine(ST),MMR001009
 Grade 9,685,669,1354,Kamine(ST),MMR001009
 Grade 10,457,481,938,Kamine(ST),MMR001009
 Grade 11,611,666,1277,Kamine(ST),MMR001009
 College,134,148,282,Kamine(ST),MMR001009
 Vocational training,1,2,3,Kamine(ST),MMR001009
 Undergraduate diploma,22,9,31,Kamine(ST),MMR001009
 Graduate,172,234,406,Kamine(ST),MMR001009
 Postgraduate diploma,4,3,7,Kamine(ST),MMR001009
 Master degree,1,3,4,Kamine(ST),MMR001009
 PhD,-,1,1,Kamine(ST),MMR001009
 Other,8,2,10,Kamine(ST),MMR001009
 Total,8561,8598,17159,Kamine(ST),MMR001009
