Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,9825,10007,19832,Karli(ST),MMR014014
 Grade 1,394,413,807,Karli(ST),MMR014014
 Grade 2,418,454,872,Karli(ST),MMR014014
 Grade 3,553,593,1146,Karli(ST),MMR014014
 Grade 4,575,590,1165,Karli(ST),MMR014014
 Grade 5,948,711,1659,Karli(ST),MMR014014
 Grade 6,288,287,575,Karli(ST),MMR014014
 Grade 7,230,265,495,Karli(ST),MMR014014
 Grade 8,226,239,465,Karli(ST),MMR014014
 Grade 9,307,238,545,Karli(ST),MMR014014
 Grade 10,133,127,260,Karli(ST),MMR014014
 Grade 11,216,280,496,Karli(ST),MMR014014
 College,45,68,113,Karli(ST),MMR014014
 Vocational training,2,-,2,Karli(ST),MMR014014
 Undergraduate diploma,10,13,23,Karli(ST),MMR014014
 Graduate,133,152,285,Karli(ST),MMR014014
 Postgraduate diploma,-,4,4,Karli(ST),MMR014014
 Master degree,4,-,4,Karli(ST),MMR014014
 Other,18,7,25,Karli(ST),MMR014014
 Total,14325,14448,28773,Karli(ST),MMR014014
