Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,19679,28000,47679,Kawkareik,MMR003006
 Grade 1,5951,5662,11613,Kawkareik,MMR003006
 Grade 2,7352,7520,14872,Kawkareik,MMR003006
 Grade 3,9253,9254,18507,Kawkareik,MMR003006
 Grade 4,8993,9065,18058,Kawkareik,MMR003006
 Grade 5,12339,12423,24762,Kawkareik,MMR003006
 Grade 6,5853,6017,11870,Kawkareik,MMR003006
 Grade 7,4559,4645,9204,Kawkareik,MMR003006
 Grade 8,4314,4278,8592,Kawkareik,MMR003006
 Grade 9,4400,4207,8607,Kawkareik,MMR003006
 Grade 10,2690,2805,5495,Kawkareik,MMR003006
 Grade 11,3661,4067,7728,Kawkareik,MMR003006
 College,904,1052,1956,Kawkareik,MMR003006
 Vocational training,59,48,107,Kawkareik,MMR003006
 Undergraduate diploma,150,136,286,Kawkareik,MMR003006
 Graduate,1600,2832,4432,Kawkareik,MMR003006
 Postgraduate diploma,39,73,112,Kawkareik,MMR003006
 Master degree,62,37,99,Kawkareik,MMR003006
 PhD,10,4,14,Kawkareik,MMR003006
 Other,1083,328,1411,Kawkareik,MMR003006
 Total,92951,102453,195404,Kawkareik,MMR003006
