Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4649,5489,10138,Kawthoung,MMR006009
 Grade 1,2294,2359,4653,Kawthoung,MMR006009
 Grade 2,3013,3449,6462,Kawthoung,MMR006009
 Grade 3,4435,5120,9555,Kawthoung,MMR006009
 Grade 4,5826,6188,12014,Kawthoung,MMR006009
 Grade 5,8469,8104,16573,Kawthoung,MMR006009
 Grade 6,4651,3952,8603,Kawthoung,MMR006009
 Grade 7,3594,2791,6385,Kawthoung,MMR006009
 Grade 8,3744,2847,6591,Kawthoung,MMR006009
 Grade 9,3819,2843,6662,Kawthoung,MMR006009
 Grade 10,2683,2171,4854,Kawthoung,MMR006009
 Grade 11,3431,3182,6613,Kawthoung,MMR006009
 College,836,754,1590,Kawthoung,MMR006009
 Vocational training,40,17,57,Kawthoung,MMR006009
 Undergraduate diploma,119,92,211,Kawthoung,MMR006009
 Graduate,1621,1997,3618,Kawthoung,MMR006009
 Postgraduate diploma,24,66,90,Kawthoung,MMR006009
 Master degree,42,18,60,Kawthoung,MMR006009
 PhD,10,2,12,Kawthoung,MMR006009
 Other,275,154,429,Kawthoung,MMR006009
 Total,53575,51595,105170,Kawthoung,MMR006009
