Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3665,4794,8459,Kyangin,MMR017012
 Grade 1,1007,1019,2026,Kyangin,MMR017012
 Grade 2,1261,1824,3085,Kyangin,MMR017012
 Grade 3,1964,3163,5127,Kyangin,MMR017012
 Grade 4,3058,4193,7251,Kyangin,MMR017012
 Grade 5,12759,15291,28050,Kyangin,MMR017012
 Grade 6,2575,2508,5083,Kyangin,MMR017012
 Grade 7,2266,2027,4293,Kyangin,MMR017012
 Grade 8,2656,1932,4588,Kyangin,MMR017012
 Grade 9,2792,2165,4957,Kyangin,MMR017012
 Grade 10,2384,1821,4205,Kyangin,MMR017012
 Grade 11,2816,2563,5379,Kyangin,MMR017012
 College,711,753,1464,Kyangin,MMR017012
 Vocational training,64,39,103,Kyangin,MMR017012
 Undergraduate diploma,125,66,191,Kyangin,MMR017012
 Graduate,1344,2230,3574,Kyangin,MMR017012
 Postgraduate diploma,20,59,79,Kyangin,MMR017012
 Master degree,9,13,22,Kyangin,MMR017012
 PhD,-,1,1,Kyangin,MMR017012
 Other,712,713,1425,Kyangin,MMR017012
 Total,42188,47174,89362,Kyangin,MMR017012
