Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,310,636,946,Kyauktada,MMR013033
 Grade 1,200,242,442,Kyauktada,MMR013033
 Grade 2,215,283,498,Kyauktada,MMR013033
 Grade 3,293,412,705,Kyauktada,MMR013033
 Grade 4,486,743,1229,Kyauktada,MMR013033
 Grade 5,594,874,1468,Kyauktada,MMR013033
 Grade 6,446,557,1003,Kyauktada,MMR013033
 Grade 7,485,537,1022,Kyauktada,MMR013033
 Grade 8,778,815,1593,Kyauktada,MMR013033
 Grade 9,1123,949,2072,Kyauktada,MMR013033
 Grade 10,1978,1880,3858,Kyauktada,MMR013033
 Grade 11,1221,1145,2366,Kyauktada,MMR013033
 College,1163,931,2094,Kyauktada,MMR013033
 Vocational training,80,24,104,Kyauktada,MMR013033
 Undergraduate diploma,92,40,132,Kyauktada,MMR013033
 Graduate,3319,4955,8274,Kyauktada,MMR013033
 Postgraduate diploma,107,142,249,Kyauktada,MMR013033
 Master degree,107,242,349,Kyauktada,MMR013033
 PhD,20,44,64,Kyauktada,MMR013033
 Other,54,34,88,Kyauktada,MMR013033
 Total,13071,15485,28556,Kyauktada,MMR013033
