Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5340,7696,13036,Kyaungon,MMR017007
 Grade 1,3435,3510,6945,Kyaungon,MMR017007
 Grade 2,4442,5299,9741,Kyaungon,MMR017007
 Grade 3,6350,8178,14528,Kyaungon,MMR017007
 Grade 4,7850,9509,17359,Kyaungon,MMR017007
 Grade 5,17251,19897,37148,Kyaungon,MMR017007
 Grade 6,4294,4001,8295,Kyaungon,MMR017007
 Grade 7,3607,3078,6685,Kyaungon,MMR017007
 Grade 8,3978,2921,6899,Kyaungon,MMR017007
 Grade 9,3991,2869,6860,Kyaungon,MMR017007
 Grade 10,3082,2475,5557,Kyaungon,MMR017007
 Grade 11,4136,3544,7680,Kyaungon,MMR017007
 College,991,922,1913,Kyaungon,MMR017007
 Vocational training,54,39,93,Kyaungon,MMR017007
 Undergraduate diploma,125,84,209,Kyaungon,MMR017007
 Graduate,1533,2313,3846,Kyaungon,MMR017007
 Postgraduate diploma,57,129,186,Kyaungon,MMR017007
 Master degree,13,41,54,Kyaungon,MMR017007
 PhD,2,2,4,Kyaungon,MMR017007
 Other,816,743,1559,Kyaungon,MMR017007
 Total,71347,77250,148597,Kyaungon,MMR017007
