Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,9563,14237,23800,Kyukme,MMR015012
 Grade 1,3706,3244,6950,Kyukme,MMR015012
 Grade 2,4511,3885,8396,Kyukme,MMR015012
 Grade 3,5478,5185,10663,Kyukme,MMR015012
 Grade 4,5296,5187,10483,Kyukme,MMR015012
 Grade 5,8110,8355,16465,Kyukme,MMR015012
 Grade 6,3186,3276,6462,Kyukme,MMR015012
 Grade 7,2685,2514,5199,Kyukme,MMR015012
 Grade 8,2703,2554,5257,Kyukme,MMR015012
 Grade 9,2665,2490,5155,Kyukme,MMR015012
 Grade 10,1945,2030,3975,Kyukme,MMR015012
 Grade 11,2765,3334,6099,Kyukme,MMR015012
 College,779,956,1735,Kyukme,MMR015012
 Vocational training,58,26,84,Kyukme,MMR015012
 Undergraduate diploma,65,46,111,Kyukme,MMR015012
 Graduate,1613,2594,4207,Kyukme,MMR015012
 Postgraduate diploma,47,65,112,Kyukme,MMR015012
 Master degree,28,19,47,Kyukme,MMR015012
 PhD,3,5,8,Kyukme,MMR015012
 Other,566,187,753,Kyukme,MMR015012
 Total,55772,60189,115961,Kyukme,MMR015012
