Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2701,5229,7930,Kyunhlau,MMR005008
 Grade 1,1426,1596,3022,Kyunhlau,MMR005008
 Grade 2,1535,2232,3767,Kyunhlau,MMR005008
 Grade 3,2454,3577,6031,Kyunhlau,MMR005008
 Grade 4,4747,5990,10737,Kyunhlau,MMR005008
 Grade 5,14107,13709,27816,Kyunhlau,MMR005008
 Grade 6,3546,3115,6661,Kyunhlau,MMR005008
 Grade 7,3069,2323,5392,Kyunhlau,MMR005008
 Grade 8,3105,2257,5362,Kyunhlau,MMR005008
 Grade 9,2647,2035,4682,Kyunhlau,MMR005008
 Grade 10,3056,2444,5500,Kyunhlau,MMR005008
 Grade 11,869,552,1421,Kyunhlau,MMR005008
 College,746,616,1362,Kyunhlau,MMR005008
 Vocational training,41,27,68,Kyunhlau,MMR005008
 Undergraduate diploma,82,52,134,Kyunhlau,MMR005008
 Graduate,1257,1551,2808,Kyunhlau,MMR005008
 Postgraduate diploma,22,23,45,Kyunhlau,MMR005008
 Master degree,4,14,18,Kyunhlau,MMR005008
 PhD,3,3,6,Kyunhlau,MMR005008
 Other,827,726,1553,Kyunhlau,MMR005008
 Total,46244,48071,94315,Kyunhlau,MMR005008
