Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,9672,9869,19541,Kyunsu,MMR006006
 Grade 1,4883,4780,9663,Kyunsu,MMR006006
 Grade 2,5655,5724,11379,Kyunsu,MMR006006
 Grade 3,7876,7869,15745,Kyunsu,MMR006006
 Grade 4,10186,9926,20112,Kyunsu,MMR006006
 Grade 5,13476,12664,26140,Kyunsu,MMR006006
 Grade 6,5482,4855,10337,Kyunsu,MMR006006
 Grade 7,4164,3492,7656,Kyunsu,MMR006006
 Grade 8,4122,3302,7424,Kyunsu,MMR006006
 Grade 9,3891,3521,7412,Kyunsu,MMR006006
 Grade 10,2530,2496,5026,Kyunsu,MMR006006
 Grade 11,2014,2140,4154,Kyunsu,MMR006006
 College,601,560,1161,Kyunsu,MMR006006
 Vocational training,16,11,27,Kyunsu,MMR006006
 Undergraduate diploma,66,42,108,Kyunsu,MMR006006
 Graduate,850,1266,2116,Kyunsu,MMR006006
 Postgraduate diploma,12,23,35,Kyunsu,MMR006006
 Master degree,12,10,22,Kyunsu,MMR006006
 PhD,2,-,2,Kyunsu,MMR006006
 Other,1467,694,2161,Kyunsu,MMR006006
 Total,76977,73244,150221,Kyunsu,MMR006006
