Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8224,11240,19464,Lamine,MMR011006
 Grade 1,1934,1823,3757,Lamine,MMR011006
 Grade 2,2835,2919,5754,Lamine,MMR011006
 Grade 3,3810,4154,7964,Lamine,MMR011006
 Grade 4,3588,4071,7659,Lamine,MMR011006
 Grade 5,4936,5155,10091,Lamine,MMR011006
 Grade 6,2373,2559,4932,Lamine,MMR011006
 Grade 7,1778,1968,3746,Lamine,MMR011006
 Grade 8,1730,1830,3560,Lamine,MMR011006
 Grade 9,1828,1868,3696,Lamine,MMR011006
 Grade 10,993,1286,2279,Lamine,MMR011006
 Grade 11,1081,1370,2451,Lamine,MMR011006
 College,385,473,858,Lamine,MMR011006
 Vocational training,10,8,18,Lamine,MMR011006
 Undergraduate diploma,53,25,78,Lamine,MMR011006
 Graduate,419,1123,1542,Lamine,MMR011006
 Postgraduate diploma,10,13,23,Lamine,MMR011006
 Master degree,8,12,20,Lamine,MMR011006
 Other,917,271,1188,Lamine,MMR011006
 Total,36912,42168,79080,Lamine,MMR011006
