Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,264,598,862,Latha,MMR013036
 Grade 1,168,176,344,Latha,MMR013036
 Grade 2,169,294,463,Latha,MMR013036
 Grade 3,285,434,719,Latha,MMR013036
 Grade 4,566,857,1423,Latha,MMR013036
 Grade 5,587,789,1376,Latha,MMR013036
 Grade 6,409,444,853,Latha,MMR013036
 Grade 7,485,492,977,Latha,MMR013036
 Grade 8,762,814,1576,Latha,MMR013036
 Grade 9,847,815,1662,Latha,MMR013036
 Grade 10,1655,1677,3332,Latha,MMR013036
 Grade 11,642,625,1267,Latha,MMR013036
 College,873,1083,1956,Latha,MMR013036
 Vocational training,31,15,46,Latha,MMR013036
 Undergraduate diploma,28,35,63,Latha,MMR013036
 Graduate,2477,4661,7138,Latha,MMR013036
 Postgraduate diploma,34,69,103,Latha,MMR013036
 Master degree,44,87,131,Latha,MMR013036
 PhD,16,18,34,Latha,MMR013036
 Other,40,27,67,Latha,MMR013036
 Total,10382,14010,24392,Latha,MMR013036
