Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,15101,18319,33420,Laukine,MMR015022
 Grade 1,2933,2570,5503,Laukine,MMR015022
 Grade 2,2931,2395,5326,Laukine,MMR015022
 Grade 3,3297,2451,5748,Laukine,MMR015022
 Grade 4,3308,2368,5676,Laukine,MMR015022
 Grade 5,3390,2207,5597,Laukine,MMR015022
 Grade 6,4107,2689,6796,Laukine,MMR015022
 Grade 7,1992,1168,3160,Laukine,MMR015022
 Grade 8,1048,689,1737,Laukine,MMR015022
 Grade 9,1674,1095,2769,Laukine,MMR015022
 Grade 10,1071,731,1802,Laukine,MMR015022
 Grade 11,432,281,713,Laukine,MMR015022
 College,412,311,723,Laukine,MMR015022
 Vocational training,55,19,74,Laukine,MMR015022
 Undergraduate diploma,74,26,100,Laukine,MMR015022
 Graduate,586,368,954,Laukine,MMR015022
 Postgraduate diploma,54,34,88,Laukine,MMR015022
 Master degree,26,5,31,Laukine,MMR015022
 PhD,5,-,5,Laukine,MMR015022
 Other,14,4,18,Laukine,MMR015022
 Total,42510,37730,80240,Laukine,MMR015022
