Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4826,6267,11093,Laymyethna,MMR017010
 Grade 1,1656,1563,3219,Laymyethna,MMR017010
 Grade 2,1960,2409,4369,Laymyethna,MMR017010
 Grade 3,2916,3868,6784,Laymyethna,MMR017010
 Grade 4,4326,5450,9776,Laymyethna,MMR017010
 Grade 5,10826,13005,23831,Laymyethna,MMR017010
 Grade 6,2612,2398,5010,Laymyethna,MMR017010
 Grade 7,2365,1856,4221,Laymyethna,MMR017010
 Grade 8,2516,1854,4370,Laymyethna,MMR017010
 Grade 9,2486,1703,4189,Laymyethna,MMR017010
 Grade 10,2191,1636,3827,Laymyethna,MMR017010
 Grade 11,2081,1854,3935,Laymyethna,MMR017010
 College,665,727,1392,Laymyethna,MMR017010
 Vocational training,26,18,44,Laymyethna,MMR017010
 Undergraduate diploma,85,65,150,Laymyethna,MMR017010
 Graduate,863,1468,2331,Laymyethna,MMR017010
 Postgraduate diploma,19,62,81,Laymyethna,MMR017010
 Master degree,6,20,26,Laymyethna,MMR017010
 PhD,3,1,4,Laymyethna,MMR017010
 Other,2681,2678,5359,Laymyethna,MMR017010
 Total,45109,48902,94011,Laymyethna,MMR017010
