Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,782,1486,2268,Leshi,MMR005035
 Grade 1,202,209,411,Leshi,MMR005035
 Grade 2,214,231,445,Leshi,MMR005035
 Grade 3,263,200,463,Leshi,MMR005035
 Grade 4,294,267,561,Leshi,MMR005035
 Grade 5,386,324,710,Leshi,MMR005035
 Grade 6,270,164,434,Leshi,MMR005035
 Grade 7,253,162,415,Leshi,MMR005035
 Grade 8,245,165,410,Leshi,MMR005035
 Grade 9,278,243,521,Leshi,MMR005035
 Grade 10,353,274,627,Leshi,MMR005035
 Grade 11,124,90,214,Leshi,MMR005035
 College,33,35,68,Leshi,MMR005035
 Vocational training,4,1,5,Leshi,MMR005035
 Undergraduate diploma,8,3,11,Leshi,MMR005035
 Graduate,85,55,140,Leshi,MMR005035
 Postgraduate diploma,3,1,4,Leshi,MMR005035
 Master degree,3,-,3,Leshi,MMR005035
 Total,3800,3910,7710,Leshi,MMR005035
