Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5903,8795,14698,Letpadan,MMR008008
 Grade 1,3622,4289,7911,Letpadan,MMR008008
 Grade 2,4542,6668,11210,Letpadan,MMR008008
 Grade 3,6283,8718,15001,Letpadan,MMR008008
 Grade 4,13840,18074,31914,Letpadan,MMR008008
 Grade 5,12422,13772,26194,Letpadan,MMR008008
 Grade 6,4981,4291,9272,Letpadan,MMR008008
 Grade 7,5113,3675,8788,Letpadan,MMR008008
 Grade 8,5175,3587,8762,Letpadan,MMR008008
 Grade 9,4604,3118,7722,Letpadan,MMR008008
 Grade 10,4988,4179,9167,Letpadan,MMR008008
 Grade 11,1228,1054,2282,Letpadan,MMR008008
 College,921,997,1918,Letpadan,MMR008008
 Vocational training,69,33,102,Letpadan,MMR008008
 Undergraduate diploma,143,97,240,Letpadan,MMR008008
 Graduate,1830,2997,4827,Letpadan,MMR008008
 Postgraduate diploma,23,51,74,Letpadan,MMR008008
 Master degree,6,21,27,Letpadan,MMR008008
 PhD,2,2,4,Letpadan,MMR008008
 Other,501,652,1153,Letpadan,MMR008008
 Total,76196,85070,161266,Letpadan,MMR008008
