Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6499,9246,15745,Loilem,MMR014011
 Grade 1,879,852,1731,Loilem,MMR014011
 Grade 2,1181,1085,2266,Loilem,MMR014011
 Grade 3,1682,1562,3244,Loilem,MMR014011
 Grade 4,1515,1522,3037,Loilem,MMR014011
 Grade 5,3437,3076,6513,Loilem,MMR014011
 Grade 6,1104,1074,2178,Loilem,MMR014011
 Grade 7,1034,855,1889,Loilem,MMR014011
 Grade 8,1063,835,1898,Loilem,MMR014011
 Grade 9,1143,917,2060,Loilem,MMR014011
 Grade 10,829,703,1532,Loilem,MMR014011
 Grade 11,958,1013,1971,Loilem,MMR014011
 College,294,363,657,Loilem,MMR014011
 Vocational training,7,5,12,Loilem,MMR014011
 Undergraduate diploma,36,51,87,Loilem,MMR014011
 Graduate,594,1058,1652,Loilem,MMR014011
 Postgraduate diploma,19,37,56,Loilem,MMR014011
 Master degree,32,46,78,Loilem,MMR014011
 PhD,7,6,13,Loilem,MMR014011
 Other,22,6,28,Loilem,MMR014011
 Total,22335,24312,46647,Loilem,MMR014011
