Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5085,6004,11089,Lounglon,MMR006002
 Grade 1,3029,3438,6467,Lounglon,MMR006002
 Grade 2,3848,5136,8984,Lounglon,MMR006002
 Grade 3,5068,6395,11463,Lounglon,MMR006002
 Grade 4,6069,8148,14217,Lounglon,MMR006002
 Grade 5,10727,11516,22243,Lounglon,MMR006002
 Grade 6,3237,3541,6778,Lounglon,MMR006002
 Grade 7,2598,2554,5152,Lounglon,MMR006002
 Grade 8,2553,2460,5013,Lounglon,MMR006002
 Grade 9,2450,2077,4527,Lounglon,MMR006002
 Grade 10,1434,1492,2926,Lounglon,MMR006002
 Grade 11,1464,1441,2905,Lounglon,MMR006002
 College,551,741,1292,Lounglon,MMR006002
 Vocational training,22,20,42,Lounglon,MMR006002
 Undergraduate diploma,86,55,141,Lounglon,MMR006002
 Graduate,960,1876,2836,Lounglon,MMR006002
 Postgraduate diploma,35,62,97,Lounglon,MMR006002
 Master degree,18,66,84,Lounglon,MMR006002
 PhD,7,47,54,Lounglon,MMR006002
 Other,346,51,397,Lounglon,MMR006002
 Total,49587,57120,106707,Lounglon,MMR006002
