Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,900,1007,1907,Lwe`ge`(ST),MMR001012
 Grade 1,301,272,573,Lwe`ge`(ST),MMR001012
 Grade 2,388,357,745,Lwe`ge`(ST),MMR001012
 Grade 3,452,392,844,Lwe`ge`(ST),MMR001012
 Grade 4,329,387,716,Lwe`ge`(ST),MMR001012
 Grade 5,486,456,942,Lwe`ge`(ST),MMR001012
 Grade 6,314,313,627,Lwe`ge`(ST),MMR001012
 Grade 7,292,319,611,Lwe`ge`(ST),MMR001012
 Grade 8,220,224,444,Lwe`ge`(ST),MMR001012
 Grade 9,235,262,497,Lwe`ge`(ST),MMR001012
 Grade 10,172,162,334,Lwe`ge`(ST),MMR001012
 Grade 11,208,227,435,Lwe`ge`(ST),MMR001012
 College,59,67,126,Lwe`ge`(ST),MMR001012
 Vocational training,3,-,3,Lwe`ge`(ST),MMR001012
 Undergraduate diploma,7,3,10,Lwe`ge`(ST),MMR001012
 Graduate,113,148,261,Lwe`ge`(ST),MMR001012
 Postgraduate diploma,1,1,2,Lwe`ge`(ST),MMR001012
 Master degree,5,1,6,Lwe`ge`(ST),MMR001012
 PhD,-,1,1,Lwe`ge`(ST),MMR001012
 Other,18,23,41,Lwe`ge`(ST),MMR001012
 Total,4503,4622,9125,Lwe`ge`(ST),MMR001012
