Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1054,1307,2361,Mabane,MMR015018
 Grade 1,734,680,1414,Mabane,MMR015018
 Grade 2,900,996,1896,Mabane,MMR015018
 Grade 3,1381,1616,2997,Mabane,MMR015018
 Grade 4,1880,2104,3984,Mabane,MMR015018
 Grade 5,7513,6992,14505,Mabane,MMR015018
 Grade 6,1771,1501,3272,Mabane,MMR015018
 Grade 7,1385,1102,2487,Mabane,MMR015018
 Grade 8,1261,917,2178,Mabane,MMR015018
 Grade 9,1348,945,2293,Mabane,MMR015018
 Grade 10,829,572,1401,Mabane,MMR015018
 Grade 11,1307,1083,2390,Mabane,MMR015018
 College,318,291,609,Mabane,MMR015018
 Vocational training,26,19,45,Mabane,MMR015018
 Undergraduate diploma,65,68,133,Mabane,MMR015018
 Graduate,489,606,1095,Mabane,MMR015018
 Postgraduate diploma,6,13,19,Mabane,MMR015018
 Master degree,4,4,8,Mabane,MMR015018
 Other,61,42,103,Mabane,MMR015018
 Total,22332,20858,43190,Mabane,MMR015018
