Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,13035,18695,31730,Madaya,MMR010009
 Grade 1,3319,3424,6743,Madaya,MMR010009
 Grade 2,4592,6237,10829,Madaya,MMR010009
 Grade 3,6644,9345,15989,Madaya,MMR010009
 Grade 4,13243,17032,30275,Madaya,MMR010009
 Grade 5,26564,31490,58054,Madaya,MMR010009
 Grade 6,7547,7592,15139,Madaya,MMR010009
 Grade 7,6971,5835,12806,Madaya,MMR010009
 Grade 8,7448,5664,13112,Madaya,MMR010009
 Grade 9,6727,4767,11494,Madaya,MMR010009
 Grade 10,4925,3740,8665,Madaya,MMR010009
 Grade 11,4215,3397,7612,Madaya,MMR010009
 College,1923,1591,3514,Madaya,MMR010009
 Vocational training,136,103,239,Madaya,MMR010009
 Undergraduate diploma,310,164,474,Madaya,MMR010009
 Graduate,2933,4092,7025,Madaya,MMR010009
 Postgraduate diploma,61,89,150,Madaya,MMR010009
 Master degree,23,84,107,Madaya,MMR010009
 PhD,10,7,17,Madaya,MMR010009
 Other,300,241,541,Madaya,MMR010009
 Total,110926,123589,234515,Madaya,MMR010009
