Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,15135,23107,38242,Magway,MMR009001
 Grade 1,3410,4096,7506,Magway,MMR009001
 Grade 2,4534,6397,10931,Magway,MMR009001
 Grade 3,6163,10136,16299,Magway,MMR009001
 Grade 4,9691,13483,23174,Magway,MMR009001
 Grade 5,23680,28472,52152,Magway,MMR009001
 Grade 6,7279,7836,15115,Magway,MMR009001
 Grade 7,6620,5837,12457,Magway,MMR009001
 Grade 8,7515,6031,13546,Magway,MMR009001
 Grade 9,8557,6672,15229,Magway,MMR009001
 Grade 10,7469,5761,13230,Magway,MMR009001
 Grade 11,8197,7007,15204,Magway,MMR009001
 College,5027,3898,8925,Magway,MMR009001
 Vocational training,317,463,780,Magway,MMR009001
 Undergraduate diploma,691,546,1237,Magway,MMR009001
 Graduate,7530,10654,18184,Magway,MMR009001
 Postgraduate diploma,174,354,528,Magway,MMR009001
 Master degree,235,762,997,Magway,MMR009001
 PhD,45,99,144,Magway,MMR009001
 Other,1031,1002,2033,Magway,MMR009001
 Total,123300,142613,265913,Magway,MMR009001
