Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6572,6669,13241,Makman,MMR015024
 Grade 1,262,251,513,Makman,MMR015024
 Grade 2,262,208,470,Makman,MMR015024
 Grade 3,314,189,503,Makman,MMR015024
 Grade 4,294,211,505,Makman,MMR015024
 Grade 5,248,190,438,Makman,MMR015024
 Grade 6,128,97,225,Makman,MMR015024
 Grade 7,94,68,162,Makman,MMR015024
 Grade 8,80,60,140,Makman,MMR015024
 Grade 9,94,59,153,Makman,MMR015024
 Grade 10,82,60,142,Makman,MMR015024
 Grade 11,21,14,35,Makman,MMR015024
 College,18,8,26,Makman,MMR015024
 Vocational training,3,6,9,Makman,MMR015024
 Undergraduate diploma,12,17,29,Makman,MMR015024
 Graduate,48,42,90,Makman,MMR015024
 Postgraduate diploma,5,1,6,Makman,MMR015024
 Other,2,-,2,Makman,MMR015024
 Total,8539,8150,16689,Makman,MMR015024
