Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5959,8601,14560,Maukme`,MMR014020
 Grade 1,933,725,1658,Maukme`,MMR014020
 Grade 2,1089,926,2015,Maukme`,MMR014020
 Grade 3,1243,1022,2265,Maukme`,MMR014020
 Grade 4,1372,893,2265,Maukme`,MMR014020
 Grade 5,1521,1060,2581,Maukme`,MMR014020
 Grade 6,424,401,825,Maukme`,MMR014020
 Grade 7,385,269,654,Maukme`,MMR014020
 Grade 8,298,238,536,Maukme`,MMR014020
 Grade 9,337,239,576,Maukme`,MMR014020
 Grade 10,185,171,356,Maukme`,MMR014020
 Grade 11,320,254,574,Maukme`,MMR014020
 College,101,99,200,Maukme`,MMR014020
 Vocational training,4,6,10,Maukme`,MMR014020
 Undergraduate diploma,15,10,25,Maukme`,MMR014020
 Graduate,153,217,370,Maukme`,MMR014020
 Postgraduate diploma,1,2,3,Maukme`,MMR014020
 Master degree,2,2,4,Maukme`,MMR014020
 Other,59,25,84,Maukme`,MMR014020
 Total,14401,15160,29561,Maukme`,MMR014020
