Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8642,21766,30408,Meiktila,MMR010028
 Grade 1,3716,4107,7823,Meiktila,MMR010028
 Grade 2,4314,6122,10436,Meiktila,MMR010028
 Grade 3,5948,9451,15399,Meiktila,MMR010028
 Grade 4,10040,14593,24633,Meiktila,MMR010028
 Grade 5,24197,30708,54905,Meiktila,MMR010028
 Grade 6,8186,8637,16823,Meiktila,MMR010028
 Grade 7,8352,7303,15655,Meiktila,MMR010028
 Grade 8,9783,7801,17584,Meiktila,MMR010028
 Grade 9,11113,8253,19366,Meiktila,MMR010028
 Grade 10,11341,9216,20557,Meiktila,MMR010028
 Grade 11,9679,8665,18344,Meiktila,MMR010028
 College,5250,4568,9818,Meiktila,MMR010028
 Vocational training,289,197,486,Meiktila,MMR010028
 Undergraduate diploma,836,384,1220,Meiktila,MMR010028
 Graduate,7707,11476,19183,Meiktila,MMR010028
 Postgraduate diploma,172,305,477,Meiktila,MMR010028
 Master degree,295,635,930,Meiktila,MMR010028
 PhD,58,133,191,Meiktila,MMR010028
 Other,101,105,206,Meiktila,MMR010028
 Total,130019,154425,284444,Meiktila,MMR010028
