Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,7892,10986,18878,Minbu,MMR009007
 Grade 1,2168,2483,4651,Minbu,MMR009007
 Grade 2,3044,4343,7387,Minbu,MMR009007
 Grade 3,4698,7496,12194,Minbu,MMR009007
 Grade 4,6546,9232,15778,Minbu,MMR009007
 Grade 5,19706,23210,42916,Minbu,MMR009007
 Grade 6,5039,5570,10609,Minbu,MMR009007
 Grade 7,4347,4021,8368,Minbu,MMR009007
 Grade 8,4838,4134,8972,Minbu,MMR009007
 Grade 9,5268,4143,9411,Minbu,MMR009007
 Grade 10,4841,3755,8596,Minbu,MMR009007
 Grade 11,5235,4739,9974,Minbu,MMR009007
 College,1866,1904,3770,Minbu,MMR009007
 Vocational training,188,117,305,Minbu,MMR009007
 Undergraduate diploma,319,162,481,Minbu,MMR009007
 Graduate,3346,5128,8474,Minbu,MMR009007
 Postgraduate diploma,89,103,192,Minbu,MMR009007
 Master degree,45,118,163,Minbu,MMR009007
 PhD,14,20,34,Minbu,MMR009007
 Other,1335,980,2315,Minbu,MMR009007
 Total,80824,92644,173468,Minbu,MMR009007
