Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10672,19358,30030,Minbya,MMR012005
 Grade 1,3779,4242,8021,Minbya,MMR012005
 Grade 2,5148,7579,12727,Minbya,MMR012005
 Grade 3,7410,10882,18292,Minbya,MMR012005
 Grade 4,10264,12085,22349,Minbya,MMR012005
 Grade 5,12796,12150,24946,Minbya,MMR012005
 Grade 6,4505,4265,8770,Minbya,MMR012005
 Grade 7,3796,3191,6987,Minbya,MMR012005
 Grade 8,3315,2282,5597,Minbya,MMR012005
 Grade 9,3105,2035,5140,Minbya,MMR012005
 Grade 10,1926,1344,3270,Minbya,MMR012005
 Grade 11,2012,1469,3481,Minbya,MMR012005
 College,673,447,1120,Minbya,MMR012005
 Vocational training,57,29,86,Minbya,MMR012005
 Undergraduate diploma,124,38,162,Minbya,MMR012005
 Graduate,1219,1217,2436,Minbya,MMR012005
 Postgraduate diploma,23,31,54,Minbya,MMR012005
 Master degree,35,7,42,Minbya,MMR012005
 PhD,2,1,3,Minbya,MMR012005
 Other,446,162,608,Minbya,MMR012005
 Total,71307,82814,154121,Minbya,MMR012005
