Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2447,4734,7181,Mindon,MMR009014
 Grade 1,637,654,1291,Mindon,MMR009014
 Grade 2,1324,1566,2890,Mindon,MMR009014
 Grade 3,1849,2607,4456,Mindon,MMR009014
 Grade 4,2157,2664,4821,Mindon,MMR009014
 Grade 5,7841,8868,16709,Mindon,MMR009014
 Grade 6,1251,1323,2574,Mindon,MMR009014
 Grade 7,997,870,1867,Mindon,MMR009014
 Grade 8,1145,811,1956,Mindon,MMR009014
 Grade 9,1349,1073,2422,Mindon,MMR009014
 Grade 10,944,771,1715,Mindon,MMR009014
 Grade 11,841,720,1561,Mindon,MMR009014
 College,238,282,520,Mindon,MMR009014
 Vocational training,89,76,165,Mindon,MMR009014
 Undergraduate diploma,61,43,104,Mindon,MMR009014
 Graduate,604,970,1574,Mindon,MMR009014
 Postgraduate diploma,7,12,19,Mindon,MMR009014
 Master degree,1,5,6,Mindon,MMR009014
 PhD,1,-,1,Mindon,MMR009014
 Other,2050,1337,3387,Mindon,MMR009014
 Total,25833,29386,55219,Mindon,MMR009014
