Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,17023,17548,34571,Minepyin,MMR016007
 Grade 1,732,649,1381,Minepyin,MMR016007
 Grade 2,659,562,1221,Minepyin,MMR016007
 Grade 3,739,613,1352,Minepyin,MMR016007
 Grade 4,740,665,1405,Minepyin,MMR016007
 Grade 5,989,834,1823,Minepyin,MMR016007
 Grade 6,450,402,852,Minepyin,MMR016007
 Grade 7,416,333,749,Minepyin,MMR016007
 Grade 8,431,307,738,Minepyin,MMR016007
 Grade 9,380,293,673,Minepyin,MMR016007
 Grade 10,485,437,922,Minepyin,MMR016007
 Grade 11,134,124,258,Minepyin,MMR016007
 College,67,70,137,Minepyin,MMR016007
 Vocational training,10,9,19,Minepyin,MMR016007
 Undergraduate diploma,17,5,22,Minepyin,MMR016007
 Graduate,211,222,433,Minepyin,MMR016007
 Postgraduate diploma,18,16,34,Minepyin,MMR016007
 Master degree,12,-,12,Minepyin,MMR016007
 PhD,-,1,1,Minepyin,MMR016007
 Other,468,176,644,Minepyin,MMR016007
 Total,23981,23266,47247,Minepyin,MMR016007
