Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10366,12315,22681,Mineshu,MMR014017
 Grade 1,964,1003,1967,Mineshu,MMR014017
 Grade 2,1106,1051,2157,Mineshu,MMR014017
 Grade 3,1049,1044,2093,Mineshu,MMR014017
 Grade 4,864,896,1760,Mineshu,MMR014017
 Grade 5,1257,962,2219,Mineshu,MMR014017
 Grade 6,407,478,885,Mineshu,MMR014017
 Grade 7,400,430,830,Mineshu,MMR014017
 Grade 8,418,450,868,Mineshu,MMR014017
 Grade 9,490,411,901,Mineshu,MMR014017
 Grade 10,355,413,768,Mineshu,MMR014017
 Grade 11,324,418,742,Mineshu,MMR014017
 College,109,127,236,Mineshu,MMR014017
 Vocational training,16,21,37,Mineshu,MMR014017
 Undergraduate diploma,11,18,29,Mineshu,MMR014017
 Graduate,163,262,425,Mineshu,MMR014017
 Postgraduate diploma,4,19,23,Mineshu,MMR014017
 Master degree,4,3,7,Mineshu,MMR014017
 Other,6,2,8,Mineshu,MMR014017
 Total,18313,20323,38636,Mineshu,MMR014017
