Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5350,4866,10216,Minetung,MMR016008
 Grade 1,361,309,670,Minetung,MMR016008
 Grade 2,486,386,872,Minetung,MMR016008
 Grade 3,545,417,962,Minetung,MMR016008
 Grade 4,799,536,1335,Minetung,MMR016008
 Grade 5,804,528,1332,Minetung,MMR016008
 Grade 6,378,220,598,Minetung,MMR016008
 Grade 7,333,221,554,Minetung,MMR016008
 Grade 8,404,236,640,Minetung,MMR016008
 Grade 9,298,170,468,Minetung,MMR016008
 Grade 10,424,388,812,Minetung,MMR016008
 Grade 11,93,67,160,Minetung,MMR016008
 College,77,63,140,Minetung,MMR016008
 Vocational training,6,8,14,Minetung,MMR016008
 Undergraduate diploma,29,12,41,Minetung,MMR016008
 Graduate,213,155,368,Minetung,MMR016008
 Postgraduate diploma,2,4,6,Minetung,MMR016008
 Master degree,9,3,12,Minetung,MMR016008
 Other,11,4,15,Minetung,MMR016008
 Total,10622,8593,19215,Minetung,MMR016008
