Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,16319,17141,33460,Mineyu(ST),MMR016011
 Grade 1,911,685,1596,Mineyu(ST),MMR016011
 Grade 2,997,730,1727,Mineyu(ST),MMR016011
 Grade 3,1118,679,1797,Mineyu(ST),MMR016011
 Grade 4,1075,621,1696,Mineyu(ST),MMR016011
 Grade 5,1032,591,1623,Mineyu(ST),MMR016011
 Grade 6,869,455,1324,Mineyu(ST),MMR016011
 Grade 7,600,347,947,Mineyu(ST),MMR016011
 Grade 8,420,221,641,Mineyu(ST),MMR016011
 Grade 9,737,376,1113,Mineyu(ST),MMR016011
 Grade 10,300,202,502,Mineyu(ST),MMR016011
 Grade 11,229,155,384,Mineyu(ST),MMR016011
 College,197,126,323,Mineyu(ST),MMR016011
 Vocational training,25,23,48,Mineyu(ST),MMR016011
 Undergraduate diploma,11,4,15,Mineyu(ST),MMR016011
 Graduate,80,64,144,Mineyu(ST),MMR016011
 Postgraduate diploma,6,5,11,Mineyu(ST),MMR016011
 Master degree,2,-,2,Mineyu(ST),MMR016011
 Other,40,2,42,Mineyu(ST),MMR016011
 Total,24968,22427,47395,Mineyu(ST),MMR016011
