Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1771,3093,4864,Mingala Taungnyunt,MMR013022
 Grade 1,1087,1252,2339,Mingala Taungnyunt,MMR013022
 Grade 2,1257,1619,2876,Mingala Taungnyunt,MMR013022
 Grade 3,1675,2366,4041,Mingala Taungnyunt,MMR013022
 Grade 4,2412,3421,5833,Mingala Taungnyunt,MMR013022
 Grade 5,4502,5912,10414,Mingala Taungnyunt,MMR013022
 Grade 6,3213,3672,6885,Mingala Taungnyunt,MMR013022
 Grade 7,2959,2933,5892,Mingala Taungnyunt,MMR013022
 Grade 8,4022,3933,7955,Mingala Taungnyunt,MMR013022
 Grade 9,5688,4866,10554,Mingala Taungnyunt,MMR013022
 Grade 10,6771,6017,12788,Mingala Taungnyunt,MMR013022
 Grade 11,8957,8263,17220,Mingala Taungnyunt,MMR013022
 College,4018,3303,7321,Mingala Taungnyunt,MMR013022
 Vocational training,288,123,411,Mingala Taungnyunt,MMR013022
 Undergraduate diploma,515,196,711,Mingala Taungnyunt,MMR013022
 Graduate,8659,14023,22682,Mingala Taungnyunt,MMR013022
 Postgraduate diploma,230,412,642,Mingala Taungnyunt,MMR013022
 Master degree,197,450,647,Mingala Taungnyunt,MMR013022
 PhD,49,91,140,Mingala Taungnyunt,MMR013022
 Other,75,69,144,Mingala Taungnyunt,MMR013022
 Total,58345,66014,124359,Mingala Taungnyunt,MMR013022
