Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,59,137,196,Mobaingluk(ST),MMR005035
 Grade 1,25,19,44,Mobaingluk(ST),MMR005035
 Grade 2,22,33,55,Mobaingluk(ST),MMR005035
 Grade 3,32,38,70,Mobaingluk(ST),MMR005035
 Grade 4,55,47,102,Mobaingluk(ST),MMR005035
 Grade 5,80,73,153,Mobaingluk(ST),MMR005035
 Grade 6,47,34,81,Mobaingluk(ST),MMR005035
 Grade 7,48,31,79,Mobaingluk(ST),MMR005035
 Grade 8,72,42,114,Mobaingluk(ST),MMR005035
 Grade 9,41,33,74,Mobaingluk(ST),MMR005035
 Grade 10,62,46,108,Mobaingluk(ST),MMR005035
 Grade 11,13,3,16,Mobaingluk(ST),MMR005035
 College,9,5,14,Mobaingluk(ST),MMR005035
 Vocational training,1,-,1,Mobaingluk(ST),MMR005035
 Undergraduate diploma,6,4,10,Mobaingluk(ST),MMR005035
 Graduate,16,14,30,Mobaingluk(ST),MMR005035
 Postgraduate diploma,1,-,1,Mobaingluk(ST),MMR005035
 Master degree,1,-,1,Mobaingluk(ST),MMR005035
 Other,12,37,49,Mobaingluk(ST),MMR005035
 Total,602,596,1198,Mobaingluk(ST),MMR005035
