Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4915,6189,11104,Mogaung,MMR001008
 Grade 1,2042,1958,4000,Mogaung,MMR001008
 Grade 2,2530,2753,5283,Mogaung,MMR001008
 Grade 3,3443,4312,7755,Mogaung,MMR001008
 Grade 4,4499,5218,9717,Mogaung,MMR001008
 Grade 5,9703,10733,20436,Mogaung,MMR001008
 Grade 6,4791,4652,9443,Mogaung,MMR001008
 Grade 7,4348,4047,8395,Mogaung,MMR001008
 Grade 8,4711,4359,9070,Mogaung,MMR001008
 Grade 9,5028,4603,9631,Mogaung,MMR001008
 Grade 10,3520,3960,7480,Mogaung,MMR001008
 Grade 11,3729,4652,8381,Mogaung,MMR001008
 College,1377,1716,3093,Mogaung,MMR001008
 Vocational training,35,20,55,Mogaung,MMR001008
 Undergraduate diploma,96,85,181,Mogaung,MMR001008
 Graduate,1844,3367,5211,Mogaung,MMR001008
 Postgraduate diploma,32,74,106,Mogaung,MMR001008
 Master degree,54,46,100,Mogaung,MMR001008
 PhD,5,2,7,Mogaung,MMR001008
 Other,90,71,161,Mogaung,MMR001008
 Total,56792,62817,119609,Mogaung,MMR001008
