Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6454,6209,12663,Monekoe(ST),MMR015009
 Grade 1,647,503,1150,Monekoe(ST),MMR015009
 Grade 2,671,539,1210,Monekoe(ST),MMR015009
 Grade 3,704,566,1270,Monekoe(ST),MMR015009
 Grade 4,643,463,1106,Monekoe(ST),MMR015009
 Grade 5,644,557,1201,Monekoe(ST),MMR015009
 Grade 6,387,349,736,Monekoe(ST),MMR015009
 Grade 7,308,297,605,Monekoe(ST),MMR015009
 Grade 8,215,201,416,Monekoe(ST),MMR015009
 Grade 9,210,241,451,Monekoe(ST),MMR015009
 Grade 10,156,202,358,Monekoe(ST),MMR015009
 Grade 11,143,237,380,Monekoe(ST),MMR015009
 College,34,32,66,Monekoe(ST),MMR015009
 Undergraduate diploma,11,15,26,Monekoe(ST),MMR015009
 Graduate,64,81,145,Monekoe(ST),MMR015009
 Postgraduate diploma,5,15,20,Monekoe(ST),MMR015009
 Master degree,4,2,6,Monekoe(ST),MMR015009
 Other,40,39,79,Monekoe(ST),MMR015009
 Total,11340,10548,21888,Monekoe(ST),MMR015009
