Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,24086,30478,54564,Myaing,MMR009020
 Grade 1,2916,3223,6139,Myaing,MMR009020
 Grade 2,4111,5783,9894,Myaing,MMR009020
 Grade 3,5981,9647,15628,Myaing,MMR009020
 Grade 4,8056,11469,19525,Myaing,MMR009020
 Grade 5,18519,24885,43404,Myaing,MMR009020
 Grade 6,4915,5327,10242,Myaing,MMR009020
 Grade 7,4077,4231,8308,Myaing,MMR009020
 Grade 8,4100,4019,8119,Myaing,MMR009020
 Grade 9,3819,3442,7261,Myaing,MMR009020
 Grade 10,3096,3074,6170,Myaing,MMR009020
 Grade 11,3524,4059,7583,Myaing,MMR009020
 College,1173,1510,2683,Myaing,MMR009020
 Vocational training,97,72,169,Myaing,MMR009020
 Undergraduate diploma,135,79,214,Myaing,MMR009020
 Graduate,1905,3284,5189,Myaing,MMR009020
 Postgraduate diploma,28,60,88,Myaing,MMR009020
 Master degree,19,74,93,Myaing,MMR009020
 PhD,1,1,2,Myaing,MMR009020
 Other,271,253,524,Myaing,MMR009020
 Total,90829,114970,205799,Myaing,MMR009020
