Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,14421,15938,30359,Myawady,MMR003005
 Grade 1,4831,4801,9632,Myawady,MMR003005
 Grade 2,5840,6487,12327,Myawady,MMR003005
 Grade 3,6918,7466,14384,Myawady,MMR003005
 Grade 4,10169,10928,21097,Myawady,MMR003005
 Grade 5,9794,9541,19335,Myawady,MMR003005
 Grade 6,5741,5320,11061,Myawady,MMR003005
 Grade 7,5284,4193,9477,Myawady,MMR003005
 Grade 8,5932,4497,10429,Myawady,MMR003005
 Grade 9,5151,3633,8784,Myawady,MMR003005
 Grade 10,6467,5155,11622,Myawady,MMR003005
 Grade 11,3042,2409,5451,Myawady,MMR003005
 College,1463,1183,2646,Myawady,MMR003005
 Vocational training,65,56,121,Myawady,MMR003005
 Undergraduate diploma,153,119,272,Myawady,MMR003005
 Graduate,2478,2821,5299,Myawady,MMR003005
 Postgraduate diploma,52,101,153,Myawady,MMR003005
 Master degree,38,28,66,Myawady,MMR003005
 PhD,11,8,19,Myawady,MMR003005
 Other,529,234,763,Myawady,MMR003005
 Total,88379,84918,173297,Myawady,MMR003005
