Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,7572,9029,16601,Myeik,MMR006005
 Grade 1,4762,4841,9603,Myeik,MMR006005
 Grade 2,6071,6683,12754,Myeik,MMR006005
 Grade 3,8903,10064,18967,Myeik,MMR006005
 Grade 4,12117,13656,25773,Myeik,MMR006005
 Grade 5,21513,22372,43885,Myeik,MMR006005
 Grade 6,10579,10253,20832,Myeik,MMR006005
 Grade 7,8765,7890,16655,Myeik,MMR006005
 Grade 8,9116,7679,16795,Myeik,MMR006005
 Grade 9,9959,8557,18516,Myeik,MMR006005
 Grade 10,8137,7849,15986,Myeik,MMR006005
 Grade 11,8457,9111,17568,Myeik,MMR006005
 College,2785,2934,5719,Myeik,MMR006005
 Vocational training,119,178,297,Myeik,MMR006005
 Undergraduate diploma,291,208,499,Myeik,MMR006005
 Graduate,5571,9276,14847,Myeik,MMR006005
 Postgraduate diploma,101,243,344,Myeik,MMR006005
 Master degree,116,191,307,Myeik,MMR006005
 PhD,32,61,93,Myeik,MMR006005
 Other,653,365,1018,Myeik,MMR006005
 Total,125619,131440,257059,Myeik,MMR006005
