Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2971,4644,7615,Myinmu,MMR005002
 Grade 1,1520,1672,3192,Myinmu,MMR005002
 Grade 2,2049,2881,4930,Myinmu,MMR005002
 Grade 3,3367,4624,7991,Myinmu,MMR005002
 Grade 4,4549,5892,10441,Myinmu,MMR005002
 Grade 5,14263,17667,31930,Myinmu,MMR005002
 Grade 6,2284,2656,4940,Myinmu,MMR005002
 Grade 7,2023,2107,4130,Myinmu,MMR005002
 Grade 8,2161,2000,4161,Myinmu,MMR005002
 Grade 9,2147,2078,4225,Myinmu,MMR005002
 Grade 10,1693,1615,3308,Myinmu,MMR005002
 Grade 11,2457,2270,4727,Myinmu,MMR005002
 College,887,909,1796,Myinmu,MMR005002
 Vocational training,62,45,107,Myinmu,MMR005002
 Undergraduate diploma,142,125,267,Myinmu,MMR005002
 Graduate,1628,2577,4205,Myinmu,MMR005002
 Postgraduate diploma,41,87,128,Myinmu,MMR005002
 Master degree,14,80,94,Myinmu,MMR005002
 PhD,2,3,5,Myinmu,MMR005002
 Other,990,389,1379,Myinmu,MMR005002
 Total,45250,54321,99571,Myinmu,MMR005002
