Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,7854,12479,20333,Myitthar,MMR010015
 Grade 1,3610,4144,7754,Myitthar,MMR010015
 Grade 2,4992,6942,11934,Myitthar,MMR010015
 Grade 3,7245,9500,16745,Myitthar,MMR010015
 Grade 4,16696,19680,36376,Myitthar,MMR010015
 Grade 5,13468,14283,27751,Myitthar,MMR010015
 Grade 6,5014,4818,9832,Myitthar,MMR010015
 Grade 7,4933,3977,8910,Myitthar,MMR010015
 Grade 8,4931,3854,8785,Myitthar,MMR010015
 Grade 9,3999,3204,7203,Myitthar,MMR010015
 Grade 10,4233,4080,8313,Myitthar,MMR010015
 Grade 11,1098,862,1960,Myitthar,MMR010015
 College,1313,1189,2502,Myitthar,MMR010015
 Vocational training,101,50,151,Myitthar,MMR010015
 Undergraduate diploma,186,116,302,Myitthar,MMR010015
 Graduate,2228,3546,5774,Myitthar,MMR010015
 Postgraduate diploma,40,97,137,Myitthar,MMR010015
 Master degree,33,68,101,Myitthar,MMR010015
 PhD,2,3,5,Myitthar,MMR010015
 Other,2553,2037,4590,Myitthar,MMR010015
 Total,84529,94929,179458,Myitthar,MMR010015
