Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,451,765,1216,Myothit(ST),MMR005030
 Grade 1,351,321,672,Myothit(ST),MMR005030
 Grade 2,350,334,684,Myothit(ST),MMR005030
 Grade 3,469,482,951,Myothit(ST),MMR005030
 Grade 4,711,644,1355,Myothit(ST),MMR005030
 Grade 5,1359,1236,2595,Myothit(ST),MMR005030
 Grade 6,600,534,1134,Myothit(ST),MMR005030
 Grade 7,611,454,1065,Myothit(ST),MMR005030
 Grade 8,652,466,1118,Myothit(ST),MMR005030
 Grade 9,643,526,1169,Myothit(ST),MMR005030
 Grade 10,430,376,806,Myothit(ST),MMR005030
 Grade 11,497,482,979,Myothit(ST),MMR005030
 College,76,73,149,Myothit(ST),MMR005030
 Vocational training,112,14,126,Myothit(ST),MMR005030
 Undergraduate diploma,26,22,48,Myothit(ST),MMR005030
 Graduate,138,116,254,Myothit(ST),MMR005030
 Postgraduate diploma,5,7,12,Myothit(ST),MMR005030
 Master degree,3,-,3,Myothit(ST),MMR005030
 Other,140,91,231,Myothit(ST),MMR005030
 Total,7624,6943,14567,Myothit(ST),MMR005030
