Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5041,9838,14879,Namsan(North),MMR015016
 Grade 1,1617,1498,3115,Namsan(North),MMR015016
 Grade 2,1949,1889,3838,Namsan(North),MMR015016
 Grade 3,2800,2654,5454,Namsan(North),MMR015016
 Grade 4,3006,2917,5923,Namsan(North),MMR015016
 Grade 5,4304,4704,9008,Namsan(North),MMR015016
 Grade 6,2136,2252,4388,Namsan(North),MMR015016
 Grade 7,1790,1908,3698,Namsan(North),MMR015016
 Grade 8,1703,1884,3587,Namsan(North),MMR015016
 Grade 9,1681,2127,3808,Namsan(North),MMR015016
 Grade 10,1070,1441,2511,Namsan(North),MMR015016
 Grade 11,975,1431,2406,Namsan(North),MMR015016
 College,212,317,529,Namsan(North),MMR015016
 Vocational training,8,14,22,Namsan(North),MMR015016
 Undergraduate diploma,27,35,62,Namsan(North),MMR015016
 Graduate,350,560,910,Namsan(North),MMR015016
 Postgraduate diploma,9,15,24,Namsan(North),MMR015016
 Master degree,-,4,4,Namsan(North),MMR015016
 Other,25,6,31,Namsan(North),MMR015016
 Total,28703,35494,64197,Namsan(North),MMR015016
