Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1225,1632,2857,Nanyun,MMR005037
 Grade 1,308,274,582,Nanyun,MMR005037
 Grade 2,318,299,617,Nanyun,MMR005037
 Grade 3,403,314,717,Nanyun,MMR005037
 Grade 4,368,252,620,Nanyun,MMR005037
 Grade 5,500,316,816,Nanyun,MMR005037
 Grade 6,295,155,450,Nanyun,MMR005037
 Grade 7,241,149,390,Nanyun,MMR005037
 Grade 8,247,147,394,Nanyun,MMR005037
 Grade 9,297,121,418,Nanyun,MMR005037
 Grade 10,337,157,494,Nanyun,MMR005037
 Grade 11,315,166,481,Nanyun,MMR005037
 College,70,22,92,Nanyun,MMR005037
 Vocational training,9,9,18,Nanyun,MMR005037
 Undergraduate diploma,5,2,7,Nanyun,MMR005037
 Graduate,171,62,233,Nanyun,MMR005037
 Postgraduate diploma,3,2,5,Nanyun,MMR005037
 Master degree,8,-,8,Nanyun,MMR005037
 Total,5120,4079,9199,Nanyun,MMR005037
