Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8969,9937,18906,Naungkhio,MMR015013
 Grade 1,2695,2584,5279,Naungkhio,MMR015013
 Grade 2,3808,4335,8143,Naungkhio,MMR015013
 Grade 3,5759,6870,12629,Naungkhio,MMR015013
 Grade 4,7242,7715,14957,Naungkhio,MMR015013
 Grade 5,17830,17012,34842,Naungkhio,MMR015013
 Grade 6,4105,3798,7903,Naungkhio,MMR015013
 Grade 7,3213,2628,5841,Naungkhio,MMR015013
 Grade 8,3067,2463,5530,Naungkhio,MMR015013
 Grade 9,3444,2492,5936,Naungkhio,MMR015013
 Grade 10,2188,1733,3921,Naungkhio,MMR015013
 Grade 11,3179,2784,5963,Naungkhio,MMR015013
 College,782,780,1562,Naungkhio,MMR015013
 Vocational training,418,131,549,Naungkhio,MMR015013
 Undergraduate diploma,138,105,243,Naungkhio,MMR015013
 Graduate,1728,1991,3719,Naungkhio,MMR015013
 Postgraduate diploma,23,29,52,Naungkhio,MMR015013
 Master degree,26,15,41,Naungkhio,MMR015013
 PhD,3,3,6,Naungkhio,MMR015013
 Other,124,44,168,Naungkhio,MMR015013
 Total,68741,67449,136190,Naungkhio,MMR015013
