Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6327,11772,18099,Naungtayar(ST),MMR014009
 Grade 1,1535,1410,2945,Naungtayar(ST),MMR014009
 Grade 2,1918,1944,3862,Naungtayar(ST),MMR014009
 Grade 3,2622,2578,5200,Naungtayar(ST),MMR014009
 Grade 4,3178,2639,5817,Naungtayar(ST),MMR014009
 Grade 5,7393,5771,13164,Naungtayar(ST),MMR014009
 Grade 6,1669,1693,3362,Naungtayar(ST),MMR014009
 Grade 7,1377,1328,2705,Naungtayar(ST),MMR014009
 Grade 8,1578,1335,2913,Naungtayar(ST),MMR014009
 Grade 9,1777,1133,2910,Naungtayar(ST),MMR014009
 Grade 10,1265,808,2073,Naungtayar(ST),MMR014009
 Grade 11,1452,1187,2639,Naungtayar(ST),MMR014009
 College,412,351,763,Naungtayar(ST),MMR014009
 Vocational training,92,37,129,Naungtayar(ST),MMR014009
 Undergraduate diploma,53,34,87,Naungtayar(ST),MMR014009
 Graduate,628,779,1407,Naungtayar(ST),MMR014009
 Postgraduate diploma,37,23,60,Naungtayar(ST),MMR014009
 Master degree,18,18,36,Naungtayar(ST),MMR014009
 PhD,3,-,3,Naungtayar(ST),MMR014009
 Other,650,496,1146,Naungtayar(ST),MMR014009
 Total,33984,35336,69320,Naungtayar(ST),MMR014009
