Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1504,2110,3614,Ngayokaung(ST),MMR017004
 Grade 1,669,656,1325,Ngayokaung(ST),MMR017004
 Grade 2,835,958,1793,Ngayokaung(ST),MMR017004
 Grade 3,1310,1539,2849,Ngayokaung(ST),MMR017004
 Grade 4,1748,1863,3611,Ngayokaung(ST),MMR017004
 Grade 5,3703,3627,7330,Ngayokaung(ST),MMR017004
 Grade 6,1542,1462,3004,Ngayokaung(ST),MMR017004
 Grade 7,1238,953,2191,Ngayokaung(ST),MMR017004
 Grade 8,1124,791,1915,Ngayokaung(ST),MMR017004
 Grade 9,1406,1124,2530,Ngayokaung(ST),MMR017004
 Grade 10,807,655,1462,Ngayokaung(ST),MMR017004
 Grade 11,1100,960,2060,Ngayokaung(ST),MMR017004
 College,326,267,593,Ngayokaung(ST),MMR017004
 Vocational training,22,17,39,Ngayokaung(ST),MMR017004
 Undergraduate diploma,16,11,27,Ngayokaung(ST),MMR017004
 Graduate,298,435,733,Ngayokaung(ST),MMR017004
 Postgraduate diploma,8,34,42,Ngayokaung(ST),MMR017004
 Master degree,1,5,6,Ngayokaung(ST),MMR017004
 PhD,2,-,2,Ngayokaung(ST),MMR017004
 Other,1313,1008,2321,Ngayokaung(ST),MMR017004
 Total,18972,18475,37447,Ngayokaung(ST),MMR017004
