Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2848,3143,5991,Ngwehsaung(ST),MMR017001
 Grade 1,1071,1011,2082,Ngwehsaung(ST),MMR017001
 Grade 2,1413,1501,2914,Ngwehsaung(ST),MMR017001
 Grade 3,1911,2018,3929,Ngwehsaung(ST),MMR017001
 Grade 4,2604,2736,5340,Ngwehsaung(ST),MMR017001
 Grade 5,2933,2881,5814,Ngwehsaung(ST),MMR017001
 Grade 6,1248,969,2217,Ngwehsaung(ST),MMR017001
 Grade 7,1039,715,1754,Ngwehsaung(ST),MMR017001
 Grade 8,1034,828,1862,Ngwehsaung(ST),MMR017001
 Grade 9,1015,706,1721,Ngwehsaung(ST),MMR017001
 Grade 10,1384,1245,2629,Ngwehsaung(ST),MMR017001
 Grade 11,364,257,621,Ngwehsaung(ST),MMR017001
 College,415,345,760,Ngwehsaung(ST),MMR017001
 Vocational training,15,8,23,Ngwehsaung(ST),MMR017001
 Undergraduate diploma,29,11,40,Ngwehsaung(ST),MMR017001
 Graduate,962,1083,2045,Ngwehsaung(ST),MMR017001
 Postgraduate diploma,25,31,56,Ngwehsaung(ST),MMR017001
 Master degree,10,26,36,Ngwehsaung(ST),MMR017001
 PhD,6,2,8,Ngwehsaung(ST),MMR017001
 Other,120,96,216,Ngwehsaung(ST),MMR017001
 Total,20446,19612,40058,Ngwehsaung(ST),MMR017001
