Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4479,5896,10375,Okpo,MMR008010
 Grade 1,2343,2565,4908,Okpo,MMR008010
 Grade 2,3136,4291,7427,Okpo,MMR008010
 Grade 3,4283,5730,10013,Okpo,MMR008010
 Grade 4,12316,15331,27647,Okpo,MMR008010
 Grade 5,8901,9482,18383,Okpo,MMR008010
 Grade 6,3525,3088,6613,Okpo,MMR008010
 Grade 7,3561,2598,6159,Okpo,MMR008010
 Grade 8,3663,2631,6294,Okpo,MMR008010
 Grade 9,2830,2008,4838,Okpo,MMR008010
 Grade 10,3298,3106,6404,Okpo,MMR008010
 Grade 11,800,716,1516,Okpo,MMR008010
 College,656,805,1461,Okpo,MMR008010
 Vocational training,47,31,78,Okpo,MMR008010
 Undergraduate diploma,112,60,172,Okpo,MMR008010
 Graduate,1154,2065,3219,Okpo,MMR008010
 Postgraduate diploma,30,50,80,Okpo,MMR008010
 Master degree,6,18,24,Okpo,MMR008010
 PhD,1,1,2,Okpo,MMR008010
 Other,421,591,1012,Okpo,MMR008010
 Total,55562,61063,116625,Okpo,MMR008010
