Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2140,4979,7119,Ottarathiri,MMR018008
 Grade 1,1319,1337,2656,Ottarathiri,MMR018008
 Grade 2,1572,2119,3691,Ottarathiri,MMR018008
 Grade 3,2711,3345,6056,Ottarathiri,MMR018008
 Grade 4,3804,4140,7944,Ottarathiri,MMR018008
 Grade 5,8394,7512,15906,Ottarathiri,MMR018008
 Grade 6,2540,2138,4678,Ottarathiri,MMR018008
 Grade 7,2124,1530,3654,Ottarathiri,MMR018008
 Grade 8,2162,1482,3644,Ottarathiri,MMR018008
 Grade 9,2528,1571,4099,Ottarathiri,MMR018008
 Grade 10,2078,1391,3469,Ottarathiri,MMR018008
 Grade 11,2113,1612,3725,Ottarathiri,MMR018008
 College,813,609,1422,Ottarathiri,MMR018008
 Vocational training,51,20,71,Ottarathiri,MMR018008
 Undergraduate diploma,151,44,195,Ottarathiri,MMR018008
 Graduate,1594,1814,3408,Ottarathiri,MMR018008
 Postgraduate diploma,25,55,80,Ottarathiri,MMR018008
 Master degree,128,43,171,Ottarathiri,MMR018008
 PhD,9,6,15,Ottarathiri,MMR018008
 Other,852,545,1397,Ottarathiri,MMR018008
 Total,37108,36292,73400,Ottarathiri,MMR018008
