Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4721,6772,11493,Padaung,MMR008003
 Grade 1,1946,2393,4339,Padaung,MMR008003
 Grade 2,3334,4553,7887,Padaung,MMR008003
 Grade 3,4764,6351,11115,Padaung,MMR008003
 Grade 4,10864,13800,24664,Padaung,MMR008003
 Grade 5,9561,10844,20405,Padaung,MMR008003
 Grade 6,3522,3310,6832,Padaung,MMR008003
 Grade 7,3660,3061,6721,Padaung,MMR008003
 Grade 8,4511,3541,8052,Padaung,MMR008003
 Grade 9,5137,3044,8181,Padaung,MMR008003
 Grade 10,6753,5389,12142,Padaung,MMR008003
 Grade 11,1530,1253,2783,Padaung,MMR008003
 College,897,1053,1950,Padaung,MMR008003
 Vocational training,99,67,166,Padaung,MMR008003
 Undergraduate diploma,214,135,349,Padaung,MMR008003
 Graduate,2045,3772,5817,Padaung,MMR008003
 Postgraduate diploma,29,64,93,Padaung,MMR008003
 Master degree,35,45,80,Padaung,MMR008003
 PhD,7,3,10,Padaung,MMR008003
 Other,722,589,1311,Padaung,MMR008003
 Total,64351,70039,134390,Padaung,MMR008003
