Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2979,3454,6433,Pansai(KyuKute)(ST),MMR015009
 Grade 1,493,409,902,Pansai(KyuKute)(ST),MMR015009
 Grade 2,570,523,1093,Pansai(KyuKute)(ST),MMR015009
 Grade 3,843,765,1608,Pansai(KyuKute)(ST),MMR015009
 Grade 4,780,679,1459,Pansai(KyuKute)(ST),MMR015009
 Grade 5,986,907,1893,Pansai(KyuKute)(ST),MMR015009
 Grade 6,677,562,1239,Pansai(KyuKute)(ST),MMR015009
 Grade 7,457,478,935,Pansai(KyuKute)(ST),MMR015009
 Grade 8,438,463,901,Pansai(KyuKute)(ST),MMR015009
 Grade 9,445,472,917,Pansai(KyuKute)(ST),MMR015009
 Grade 10,251,291,542,Pansai(KyuKute)(ST),MMR015009
 Grade 11,461,558,1019,Pansai(KyuKute)(ST),MMR015009
 College,109,79,188,Pansai(KyuKute)(ST),MMR015009
 Vocational training,5,1,6,Pansai(KyuKute)(ST),MMR015009
 Undergraduate diploma,9,17,26,Pansai(KyuKute)(ST),MMR015009
 Graduate,138,204,342,Pansai(KyuKute)(ST),MMR015009
 Postgraduate diploma,3,4,7,Pansai(KyuKute)(ST),MMR015009
 Master degree,1,2,3,Pansai(KyuKute)(ST),MMR015009
 PhD,1,-,1,Pansai(KyuKute)(ST),MMR015009
 Other,621,472,1093,Pansai(KyuKute)(ST),MMR015009
 Total,10267,10340,20607,Pansai(KyuKute)(ST),MMR015009
