Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2263,3077,5340,Pansaung(ST),MMR005037
 Grade 1,619,504,1123,Pansaung(ST),MMR005037
 Grade 2,577,521,1098,Pansaung(ST),MMR005037
 Grade 3,640,536,1176,Pansaung(ST),MMR005037
 Grade 4,602,527,1129,Pansaung(ST),MMR005037
 Grade 5,633,413,1046,Pansaung(ST),MMR005037
 Grade 6,323,225,548,Pansaung(ST),MMR005037
 Grade 7,288,177,465,Pansaung(ST),MMR005037
 Grade 8,225,145,370,Pansaung(ST),MMR005037
 Grade 9,287,163,450,Pansaung(ST),MMR005037
 Grade 10,211,135,346,Pansaung(ST),MMR005037
 Grade 11,256,187,443,Pansaung(ST),MMR005037
 College,53,24,77,Pansaung(ST),MMR005037
 Vocational training,8,6,14,Pansaung(ST),MMR005037
 Undergraduate diploma,14,6,20,Pansaung(ST),MMR005037
 Graduate,49,16,65,Pansaung(ST),MMR005037
 Postgraduate diploma,5,1,6,Pansaung(ST),MMR005037
 PhD,1,-,1,Pansaung(ST),MMR005037
 Other,2,-,2,Pansaung(ST),MMR005037
 Total,7056,6663,13719,Pansaung(ST),MMR005037
