Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10475,14416,24891,Pantanaw,MMR017020
 Grade 1,5653,5941,11594,Pantanaw,MMR017020
 Grade 2,7488,9090,16578,Pantanaw,MMR017020
 Grade 3,10706,13867,24573,Pantanaw,MMR017020
 Grade 4,14714,17401,32115,Pantanaw,MMR017020
 Grade 5,27119,29912,57031,Pantanaw,MMR017020
 Grade 6,7184,6562,13746,Pantanaw,MMR017020
 Grade 7,5654,4466,10120,Pantanaw,MMR017020
 Grade 8,6094,4221,10315,Pantanaw,MMR017020
 Grade 9,5922,4200,10122,Pantanaw,MMR017020
 Grade 10,5105,4215,9320,Pantanaw,MMR017020
 Grade 11,4558,3971,8529,Pantanaw,MMR017020
 College,1282,1187,2469,Pantanaw,MMR017020
 Vocational training,55,40,95,Pantanaw,MMR017020
 Undergraduate diploma,149,128,277,Pantanaw,MMR017020
 Graduate,1840,2960,4800,Pantanaw,MMR017020
 Postgraduate diploma,50,100,150,Pantanaw,MMR017020
 Master degree,10,33,43,Pantanaw,MMR017020
 PhD,4,3,7,Pantanaw,MMR017020
 Other,1537,1374,2911,Pantanaw,MMR017020
 Total,115599,124087,239686,Pantanaw,MMR017020
