Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,32239,33814,66053,Panwine,MMR015007
 Grade 1,2064,1747,3811,Panwine,MMR015007
 Grade 2,2112,1825,3937,Panwine,MMR015007
 Grade 3,2244,1692,3936,Panwine,MMR015007
 Grade 4,1359,1041,2400,Panwine,MMR015007
 Grade 5,936,654,1590,Panwine,MMR015007
 Grade 6,953,678,1631,Panwine,MMR015007
 Grade 7,435,345,780,Panwine,MMR015007
 Grade 8,191,160,351,Panwine,MMR015007
 Grade 9,217,154,371,Panwine,MMR015007
 Grade 10,106,82,188,Panwine,MMR015007
 Grade 11,75,64,139,Panwine,MMR015007
 College,26,21,47,Panwine,MMR015007
 Vocational training,7,10,17,Panwine,MMR015007
 Undergraduate diploma,6,2,8,Panwine,MMR015007
 Graduate,5,16,21,Panwine,MMR015007
 Postgraduate diploma,1,1,2,Panwine,MMR015007
 PhD,-,5,5,Panwine,MMR015007
 Other,366,276,642,Panwine,MMR015007
 Total,43342,42587,85929,Panwine,MMR015007
