Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8859,12374,21233,Pathein,MMR017001
 Grade 1,4513,4722,9235,Pathein,MMR017001
 Grade 2,6063,7350,13413,Pathein,MMR017001
 Grade 3,7936,10079,18015,Pathein,MMR017001
 Grade 4,14828,18862,33690,Pathein,MMR017001
 Grade 5,20648,23273,43921,Pathein,MMR017001
 Grade 6,7478,7162,14640,Pathein,MMR017001
 Grade 7,7302,6015,13317,Pathein,MMR017001
 Grade 8,8705,6927,15632,Pathein,MMR017001
 Grade 9,8405,6233,14638,Pathein,MMR017001
 Grade 10,12524,11026,23550,Pathein,MMR017001
 Grade 11,4726,4005,8731,Pathein,MMR017001
 College,3481,3599,7080,Pathein,MMR017001
 Vocational training,272,218,490,Pathein,MMR017001
 Undergraduate diploma,414,483,897,Pathein,MMR017001
 Graduate,8228,13308,21536,Pathein,MMR017001
 Postgraduate diploma,207,408,615,Pathein,MMR017001
 Master degree,222,802,1024,Pathein,MMR017001
 PhD,51,120,171,Pathein,MMR017001
 Other,1776,1711,3487,Pathein,MMR017001
 Total,126638,138677,265315,Pathein,MMR017001
