Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6735,8990,15725,Paunde,MMR008004
 Grade 1,1997,2369,4366,Paunde,MMR008004
 Grade 2,3179,4387,7566,Paunde,MMR008004
 Grade 3,4684,5998,10682,Paunde,MMR008004
 Grade 4,13053,15717,28770,Paunde,MMR008004
 Grade 5,11655,12482,24137,Paunde,MMR008004
 Grade 6,3169,2611,5780,Paunde,MMR008004
 Grade 7,3514,2493,6007,Paunde,MMR008004
 Grade 8,3707,2492,6199,Paunde,MMR008004
 Grade 9,3251,2230,5481,Paunde,MMR008004
 Grade 10,3366,2869,6235,Paunde,MMR008004
 Grade 11,710,605,1315,Paunde,MMR008004
 College,675,726,1401,Paunde,MMR008004
 Vocational training,59,55,114,Paunde,MMR008004
 Undergraduate diploma,110,57,167,Paunde,MMR008004
 Graduate,1533,2663,4196,Paunde,MMR008004
 Postgraduate diploma,34,31,65,Paunde,MMR008004
 Master degree,9,17,26,Paunde,MMR008004
 PhD,1,-,1,Paunde,MMR008004
 Other,88,88,176,Paunde,MMR008004
 Total,61529,66880,128409,Paunde,MMR008004
