Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,14888,19464,34352,Paung,MMR011008
 Grade 1,4953,4913,9866,Paung,MMR011008
 Grade 2,7093,7438,14531,Paung,MMR011008
 Grade 3,9834,10844,20678,Paung,MMR011008
 Grade 4,10439,11796,22235,Paung,MMR011008
 Grade 5,15294,16998,32292,Paung,MMR011008
 Grade 6,6260,6290,12550,Paung,MMR011008
 Grade 7,5275,4832,10107,Paung,MMR011008
 Grade 8,5009,4279,9288,Paung,MMR011008
 Grade 9,4706,3785,8491,Paung,MMR011008
 Grade 10,3237,2803,6040,Paung,MMR011008
 Grade 11,3559,3357,6916,Paung,MMR011008
 College,1174,1437,2611,Paung,MMR011008
 Vocational training,61,45,106,Paung,MMR011008
 Undergraduate diploma,181,119,300,Paung,MMR011008
 Graduate,1792,3790,5582,Paung,MMR011008
 Postgraduate diploma,43,72,115,Paung,MMR011008
 Master degree,26,54,80,Paung,MMR011008
 PhD,5,3,8,Paung,MMR011008
 Other,536,183,719,Paung,MMR011008
 Total,94365,102502,196867,Paung,MMR011008
