Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10435,10963,21398,Payarthonezu(ST),MMR003007
 Grade 1,2553,2427,4980,Payarthonezu(ST),MMR003007
 Grade 2,2976,3113,6089,Payarthonezu(ST),MMR003007
 Grade 3,3278,3475,6753,Payarthonezu(ST),MMR003007
 Grade 4,3415,3843,7258,Payarthonezu(ST),MMR003007
 Grade 5,3804,4293,8097,Payarthonezu(ST),MMR003007
 Grade 6,2119,2276,4395,Payarthonezu(ST),MMR003007
 Grade 7,1612,1685,3297,Payarthonezu(ST),MMR003007
 Grade 8,1472,1587,3059,Payarthonezu(ST),MMR003007
 Grade 9,1510,1480,2990,Payarthonezu(ST),MMR003007
 Grade 10,1406,1449,2855,Payarthonezu(ST),MMR003007
 Grade 11,890,786,1676,Payarthonezu(ST),MMR003007
 College,284,338,622,Payarthonezu(ST),MMR003007
 Vocational training,21,12,33,Payarthonezu(ST),MMR003007
 Undergraduate diploma,30,19,49,Payarthonezu(ST),MMR003007
 Graduate,367,542,909,Payarthonezu(ST),MMR003007
 Postgraduate diploma,6,9,15,Payarthonezu(ST),MMR003007
 Master degree,2,6,8,Payarthonezu(ST),MMR003007
 PhD,-,1,1,Payarthonezu(ST),MMR003007
 Other,2914,2158,5072,Payarthonezu(ST),MMR003007
 Total,39094,40462,79556,Payarthonezu(ST),MMR003007
