Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,642,1105,1747,Pazuntaung,MMR013016
 Grade 1,432,481,913,Pazuntaung,MMR013016
 Grade 2,395,581,976,Pazuntaung,MMR013016
 Grade 3,491,736,1227,Pazuntaung,MMR013016
 Grade 4,1007,1658,2665,Pazuntaung,MMR013016
 Grade 5,1238,1400,2638,Pazuntaung,MMR013016
 Grade 6,838,891,1729,Pazuntaung,MMR013016
 Grade 7,943,1063,2006,Pazuntaung,MMR013016
 Grade 8,1362,1428,2790,Pazuntaung,MMR013016
 Grade 9,1597,1407,3004,Pazuntaung,MMR013016
 Grade 10,2788,2751,5539,Pazuntaung,MMR013016
 Grade 11,1954,1723,3677,Pazuntaung,MMR013016
 College,1779,1430,3209,Pazuntaung,MMR013016
 Vocational training,103,46,149,Pazuntaung,MMR013016
 Undergraduate diploma,231,95,326,Pazuntaung,MMR013016
 Graduate,4814,7716,12530,Pazuntaung,MMR013016
 Postgraduate diploma,223,243,466,Pazuntaung,MMR013016
 Master degree,109,301,410,Pazuntaung,MMR013016
 PhD,30,75,105,Pazuntaung,MMR013016
 Other,80,69,149,Pazuntaung,MMR013016
 Total,21056,25199,46255,Pazuntaung,MMR013016
