Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,11350,8166,19516,Phakant,MMR001009
 Grade 1,3034,2960,5994,Phakant,MMR001009
 Grade 2,4332,3770,8102,Phakant,MMR001009
 Grade 3,7237,5868,13105,Phakant,MMR001009
 Grade 4,14685,8917,23602,Phakant,MMR001009
 Grade 5,32456,16039,48495,Phakant,MMR001009
 Grade 6,17376,8384,25760,Phakant,MMR001009
 Grade 7,15014,6609,21623,Phakant,MMR001009
 Grade 8,17813,6912,24725,Phakant,MMR001009
 Grade 9,19977,8133,28110,Phakant,MMR001009
 Grade 10,16279,7083,23362,Phakant,MMR001009
 Grade 11,16352,8645,24997,Phakant,MMR001009
 College,5255,2847,8102,Phakant,MMR001009
 Vocational training,115,89,204,Phakant,MMR001009
 Undergraduate diploma,347,202,549,Phakant,MMR001009
 Graduate,6637,4799,11436,Phakant,MMR001009
 Postgraduate diploma,93,98,191,Phakant,MMR001009
 Master degree,82,54,136,Phakant,MMR001009
 PhD,14,6,20,Phakant,MMR001009
 Other,726,160,886,Phakant,MMR001009
 Total,189174,99741,288915,Phakant,MMR001009
