Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2363,3823,6186,Phruso,MMR002003
 Grade 1,936,872,1808,Phruso,MMR002003
 Grade 2,995,901,1896,Phruso,MMR002003
 Grade 3,1178,1148,2326,Phruso,MMR002003
 Grade 4,1248,1119,2367,Phruso,MMR002003
 Grade 5,1474,1209,2683,Phruso,MMR002003
 Grade 6,873,709,1582,Phruso,MMR002003
 Grade 7,606,539,1145,Phruso,MMR002003
 Grade 8,661,480,1141,Phruso,MMR002003
 Grade 9,629,598,1227,Phruso,MMR002003
 Grade 10,432,451,883,Phruso,MMR002003
 Grade 11,582,695,1277,Phruso,MMR002003
 College,99,102,201,Phruso,MMR002003
 Vocational training,19,2,21,Phruso,MMR002003
 Undergraduate diploma,23,21,44,Phruso,MMR002003
 Graduate,207,187,394,Phruso,MMR002003
 Postgraduate diploma,2,4,6,Phruso,MMR002003
 Master degree,26,4,30,Phruso,MMR002003
 PhD,2,-,2,Phruso,MMR002003
 Other,4,2,6,Phruso,MMR002003
 Total,12359,12866,25225,Phruso,MMR002003
