Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3928,4281,8209,Pindaya,MMR014006
 Grade 1,1320,1356,2676,Pindaya,MMR014006
 Grade 2,1742,1919,3661,Pindaya,MMR014006
 Grade 3,3129,3545,6674,Pindaya,MMR014006
 Grade 4,3586,4064,7650,Pindaya,MMR014006
 Grade 5,9299,9966,19265,Pindaya,MMR014006
 Grade 6,2307,2524,4831,Pindaya,MMR014006
 Grade 7,1845,1836,3681,Pindaya,MMR014006
 Grade 8,1598,1479,3077,Pindaya,MMR014006
 Grade 9,1667,1487,3154,Pindaya,MMR014006
 Grade 10,1518,1503,3021,Pindaya,MMR014006
 Grade 11,992,1114,2106,Pindaya,MMR014006
 College,375,507,882,Pindaya,MMR014006
 Vocational training,23,28,51,Pindaya,MMR014006
 Undergraduate diploma,85,81,166,Pindaya,MMR014006
 Graduate,702,1399,2101,Pindaya,MMR014006
 Postgraduate diploma,12,33,45,Pindaya,MMR014006
 Master degree,6,13,19,Pindaya,MMR014006
 PhD,2,-,2,Pindaya,MMR014006
 Other,701,315,1016,Pindaya,MMR014006
 Total,34837,37450,72287,Pindaya,MMR014006
