Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5595,8483,14078,Pinlebu,MMR005026
 Grade 1,1922,2236,4158,Pinlebu,MMR005026
 Grade 2,2229,3353,5582,Pinlebu,MMR005026
 Grade 3,3195,4605,7800,Pinlebu,MMR005026
 Grade 4,5513,6668,12181,Pinlebu,MMR005026
 Grade 5,14876,16342,31218,Pinlebu,MMR005026
 Grade 6,2663,2348,5011,Pinlebu,MMR005026
 Grade 7,2308,1932,4240,Pinlebu,MMR005026
 Grade 8,2292,1810,4102,Pinlebu,MMR005026
 Grade 9,1390,1041,2431,Pinlebu,MMR005026
 Grade 10,1543,1690,3233,Pinlebu,MMR005026
 Grade 11,735,669,1404,Pinlebu,MMR005026
 College,729,764,1493,Pinlebu,MMR005026
 Vocational training,23,18,41,Pinlebu,MMR005026
 Undergraduate diploma,75,44,119,Pinlebu,MMR005026
 Graduate,854,1511,2365,Pinlebu,MMR005026
 Postgraduate diploma,17,30,47,Pinlebu,MMR005026
 Master degree,7,12,19,Pinlebu,MMR005026
 PhD,-,1,1,Pinlebu,MMR005026
 Other,243,188,431,Pinlebu,MMR005026
 Total,46209,53745,99954,Pinlebu,MMR005026
